City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,general roca,-39.0333,-67.5833,13.53,57,100,2.11,AR,2024-06-07
1,daru,-9.0763,143.2092,26.41,87,65,5.92,PG,2024-06-07
2,haiku-pauwela,20.9219,-156.3051,27.01,74,20,11.32,US,2024-06-07
3,albany,42.6001,-73.9662,15.23,89,74,0.45,US,2024-06-07
4,waitangi,-43.9535,-176.5597,8.79,65,7,3.58,NZ,2024-06-07
5,meadow lake,34.8014,-106.5436,29.82,32,100,5.15,US,2024-06-07
6,avarua,-21.2078,-159.775,24.03,43,54,3.09,CK,2024-06-07
7,severo-yeniseyskiy,60.3725,93.0408,11.43,59,100,4.02,RU,2024-06-07
8,adamstown,-25.066,-130.1015,23.21,78,92,4.34,PN,2024-06-07
9,nuuk,64.1835,-51.7216,2.34,100,75,4.12,GL,2024-06-07
10,whitehorse,60.7161,-135.0538,19.45,21,20,3.6,CA,2024-06-07
11,isafjordur,66.0755,-23.124,0.22,93,94,2.31,IS,2024-06-07
12,bethel,41.3712,-73.414,18.2,84,0,1.54,US,2024-06-07
13,port-aux-francais,-49.35,70.2167,6.21,97,100,11.11,TF,2024-06-07
14,iqaluit,63.7506,-68.5145,-0.15,80,75,7.72,CA,2024-06-07
15,petropavlovsk-kamchatsky,53.0452,158.6483,23.33,50,0,4.47,RU,2024-06-07
16,fortuna,40.5982,-124.1573,17.18,84,0,2.57,US,2024-06-07
17,arraial do cabo,-22.9661,-42.0278,22.34,88,0,6.68,BR,2024-06-07
18,rongelap,11.1635,166.8941,28.27,80,73,6.72,MH,2024-06-07
19,bilibino,68.0546,166.4372,9.14,31,10,1.87,RU,2024-06-07
20,west island,-12.1568,96.8225,28.99,70,19,3.6,CC,2024-06-07
21,vilyuchinsk,52.9306,158.4028,24.15,41,11,2.0,RU,2024-06-07
22,pemangkat,1.1667,108.9667,26.72,83,99,2.46,ID,2024-06-07
23,longyearbyen,78.2186,15.6401,6.91,61,0,3.6,SJ,2024-06-07
24,ilulissat,69.2167,-51.1,1.01,93,75,0.0,GL,2024-06-07
25,yellowknife,62.456,-114.3525,8.29,96,100,5.14,CA,2024-06-07
26,sitka,57.0531,-135.33,18.94,32,0,5.14,US,2024-06-07
27,wailua homesteads,22.0669,-159.378,30.24,74,0,5.66,US,2024-06-07
28,eastham,41.8301,-69.9739,17.19,95,100,3.09,US,2024-06-07
29,pisco,-13.7,-76.2167,17.03,88,0,3.6,PE,2024-06-07
30,kodiak,57.79,-152.4072,7.73,87,100,8.23,US,2024-06-07
31,blackmans bay,-43.0167,147.3167,9.29,82,38,0.89,AU,2024-06-07
32,bredasdorp,-34.5322,20.0403,9.11,85,9,1.4,ZA,2024-06-07
33,canico,32.6333,-16.85,21.11,89,40,5.66,PT,2024-06-07
34,papatowai,-46.5619,169.4708,12.0,71,32,1.25,NZ,2024-06-07
35,port mathurin,-19.6833,63.4167,23.63,78,41,8.62,MU,2024-06-07
36,sandnessjoen,66.0217,12.6316,3.29,67,94,3.88,NO,2024-06-07
37,tura,25.5198,90.2201,28.19,82,2,2.72,IN,2024-06-07
38,howard springs,-12.497,131.047,24.43,45,53,4.56,AU,2024-06-07
39,la paz,-16.5,-68.15,4.99,25,3,2.57,BO,2024-06-07
40,stanley,54.868,-1.6985,9.29,78,0,4.63,GB,2024-06-07
41,nemuro,43.3236,145.575,11.96,93,100,6.15,JP,2024-06-07
42,port alfred,-33.5906,26.891,14.95,71,100,0.87,ZA,2024-06-07
43,vernon,50.2581,-119.2691,24.23,26,39,2.68,CA,2024-06-07
44,olonkinbyen,70.9221,-8.7187,2.01,85,75,4.65,SJ,2024-06-07
45,aldinga beach,-35.2793,138.4604,15.41,78,100,4.26,AU,2024-06-07
46,mari-turek,56.7895,49.6235,13.42,90,78,3.4,RU,2024-06-07
47,mejit,10.2753,170.8646,28.39,80,69,4.3,MH,2024-06-07
48,keflavik,64.0049,-22.5624,6.24,75,40,5.14,IS,2024-06-07
49,voskresenskoye,56.8381,45.4317,13.38,94,14,2.64,RU,2024-06-07
50,port elizabeth,-33.918,25.5701,10.16,93,20,1.54,ZA,2024-06-07
51,saipan,15.1355,145.701,32.39,62,40,7.2,MP,2024-06-07
52,ancud,-41.8697,-73.8203,11.36,95,100,1.82,CL,2024-06-07
53,tutoia,-2.7619,-42.2744,25.96,90,78,4.46,BR,2024-06-07
54,selkirk,50.1436,-96.8845,15.1,67,79,1.46,CA,2024-06-07
55,hermanus,-34.4187,19.2345,8.78,77,12,3.74,ZA,2024-06-07
