City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
1,west island,CC,-12.1568,96.8225,74,Cocos Village Bungalows
2,lompoc,US,34.6391,-120.4579,91,Red Roof Inn Lompoc
4,cockburn town,TC,21.4612,-71.1419,83,The Salt Raker Inn
7,afaahiti,PF,-17.75,-149.2833,85,Omati Lodge
8,sanming,CN,26.2486,117.6186,98,三明客家宾馆
9,freetown,SL,8.484,-13.2299,61,Formal Leona hotel
14,gao,ML,16.6362,1.637,15,No hotel found
16,denia,ES,38.8408,0.1057,61,Hostal Comercio
20,anaco,VE,9.4389,-64.4728,47,Hotel Muñíz
26,georgetown,MY,5.4112,100.3354,79,Page 63 hostel
29,la'ie,US,21.6477,-157.9253,77,No hotel found
30,ribeira grande,PT,38.5167,-28.7,83,Hospedaria JSF
31,manaquiri,BR,-3.3167,-60.35,48,No hotel found
33,sitangkai,PH,4.6628,119.3928,79,No hotel found
35,ryotsu-minato,JP,38.0833,138.4333,92,ゆたかや旅館
37,sinabang,ID,2.4803,96.3801,82,No hotel found
41,wailua homesteads,US,22.0669,-159.378,84,Hilton Garden Inn Kauai Wailua Bay
42,shinas,OM,24.7433,56.4658,72,No hotel found
47,saipan,MP,15.1355,145.701,89,Chalan Kanoa Beach Hotel
48,wenchang,CN,30.904,118.4887,70,No hotel found
49,abepura,ID,-2.6333,140.5833,100,Yoyo
50,laojunmiao,CN,39.8333,97.7333,18,No hotel found
55,aljezur,PT,37.3191,-8.8033,67,Vicentina Hotel
57,atafu village,TK,-8.5421,-172.5159,72,No hotel found
60,galliano,US,29.4422,-90.2992,55,Fairfield Inn & Suites by Marriott Cut Off-Galliano
66,remire-montjoly,GF,4.9167,-52.2667,62,Complexe Belova
69,alaghsas,NE,17.0187,8.0168,24,Hôtel Zagado
70,indapur,IN,18.3,73.25,92,No hotel found
71,san pedro pochutla,MX,15.7333,-96.4667,57,Olimpia
72,san fernando,PH,15.0286,120.6898,87,Pampanga Lodge and Restaurant
74,thal,PK,35.4791,72.2439,76,No hotel found
75,muntok,ID,-2.0667,105.1833,88,No hotel found
81,tofol,FM,5.3248,163.0078,78,Nautilus Resort
83,howard springs,AU,-12.497,131.047,88,Rydges Palmerston
84,hasaki,JP,35.7333,140.8333,79,Choshi Plaza Hotel
85,sungailiat,ID,-1.85,106.1333,87,Novila Boutique & Resort Hotel
86,mulanje,MW,-16.0316,35.5,97,No hotel found
87,mae chan,TH,20.1467,99.8526,97,ต้นห้ารีสอร์ท
90,kalmunai,LK,7.4167,81.8167,78,Saji new food
91,hadibu,YE,12.65,54.0333,77,No hotel found
94,fale old settlement,TK,-9.3852,-171.2468,69,No hotel found
97,bull savanna,JM,17.8868,-77.5902,73,Junction Guest House
100,kapa'a,US,22.0752,-159.319,84,Pono Kai Resort
104,bardai,NG,11.65,7.2333,53,No hotel found
105,nyala,SD,12.05,24.8833,54,سوني سفاري
106,poteau,US,35.0537,-94.6236,55,Days Inn
109,nova vicosa,BR,-17.8919,-39.3719,75,Pousada Pontal da Barra
110,minas de marcona,PE,-15.2119,-75.1103,53,No hotel found
112,benguela,AO,-12.5763,13.4055,86,Hotel Moibela
115,belonia,IN,23.2528,91.4514,91,No hotel found
116,uturoa,PF,-16.7333,-151.4333,78,Hawaiki Nui hotel
117,morehead city,US,34.7229,-76.726,49,"Bask Hotel Big Rock Landing, Trademark Collection by Wyndham"
119,guerrero negro,MX,27.9769,-114.0611,64,Plaza sal paraiso
120,phrae,TH,18.0833,100.0,97,No hotel found
121,lagunillas,VE,10.1301,-71.2595,68,Palacio Suite
122,agboville,CI,5.928,-4.2132,90,Résidence les studios 3
123,san patricio,US,28.017,-97.5169,39,No hotel found
124,conde,BR,-7.2597,-34.9075,74,Paladino
125,mbanza kongo,AO,-6.267,14.2401,69,Hotel Estrela de Congo
126,lashkar gah,AF,31.5938,64.3716,5,No hotel found
127,tual,ID,-5.6667,132.75,81,Suita
128,hamilton,US,39.1834,-84.5333,65,North Vista Manor
129,haiku-pauwela,US,20.9219,-156.3051,73,Inn At Mama's Fish House
130,pathardi,IN,19.1667,75.1833,79,No hotel found
131,enewetak,MH,11.3474,162.3373,81,No hotel found
137,argo,GR,37.6333,22.7333,63,Apollon Hotel
